"year","Mortality.x","Mortality.y","Mortality.x.x","Mortality.y.y","ISO"
2014,3.5,3.3,1.8,NA,"AND"
2015,3.3,3.1,1.7,NA,"AND"
2016,3.2,2.9,1.6,NA,"AND"
2017,3,2.8,1.5,NA,"AND"
2018,2.8,2.6,1.4,NA,"AND"
2019,2.7,2.5,1.4,NA,"AND"
2000,60.55947269,44.09256936,25.43366271,250,NA
2001,58.68500273,42.80036294,24.93281577,243,NA
2002,56.84083698,41.50108659,24.44103019,235,NA
2003,55.05752876,40.27458816,23.9299708,235,NA
2004,53.26149867,39.03268064,23.37480051,226,NA
2005,51.51764004,37.82395227,22.8193077,214,NA
2006,49.7665975,36.61907387,22.23770667,211,NA
2007,47.994989,35.39824616,21.65908974,201,NA
2008,46.19507879,34.18125018,21.01697136,188,NA
2009,44.47126503,33.03302876,20.42271206,180,NA
2010,42.96973593,31.98699405,19.81082997,174,NA
2011,41.75459068,31.1429479,19.32042084,167,NA
2012,41.36755449,30.64680617,18.88427645,163,NA
2013,40.60593811,30.00549986,18.45402447,157,NA
2014,39.65857468,29.35539374,18.00301048,156,NA
2015,38.62730663,28.69596462,17.61914483,153,NA
2016,37.68171538,28.08376594,17.33249392,152,NA
2017,36.23137417,27.29272157,17.11626306,149,NA
2018,35.61514683,26.82549778,16.87736007,NA,NA
2019,34.88575942,26.33280639,16.65764201,NA,NA
2000,11.1,9.6,5.9,6,"ARE"
2001,10.9,9.3,5.7,6,"ARE"
2002,10.6,9.1,5.6,5,"ARE"
2003,10.3,8.9,5.5,5,"ARE"
2004,10.1,8.6,5.3,5,"ARE"
2005,9.8,8.4,5.2,5,"ARE"
2006,9.6,8.2,5.1,4,"ARE"
2007,9.4,8.1,5,4,"ARE"
2008,9.2,7.9,4.9,4,"ARE"
2009,8.9,7.6,4.8,4,"ARE"
2010,8.7,7.4,4.6,4,"ARE"
2011,8.4,7.2,4.5,4,"ARE"
2012,8.2,7,4.4,4,"ARE"
2013,8,6.8,4.3,3,"ARE"
2014,7.8,6.7,4.2,3,"ARE"
2015,7.6,6.5,4.1,3,"ARE"
2016,7.4,6.3,4,3,"ARE"
2017,7.2,6.2,3.9,3,"ARE"
2018,7,6,3.8,NA,"ARE"
2019,6.8,5.8,3.7,NA,"ARE"
2000,19.6,17.5,11,66,"ARG"
2001,18.9,16.9,11,67,"ARG"
2002,18.3,16.4,10.8,65,"ARG"
2003,17.7,15.8,10.3,65,"ARG"
2004,17.1,15.3,9.7,61,"ARG"
2005,16.5,14.8,9.1,59,"ARG"
2006,16.1,14.4,8.7,57,"ARG"
2007,15.7,14,8.4,56,"ARG"
2008,15.3,13.7,8.1,53,"ARG"
2009,14.9,13.3,7.8,56,"ARG"
2010,14.5,12.9,7.6,51,"ARG"
2011,13.9,12.4,7.5,48,"ARG"
2012,13.3,11.9,7.6,47,"ARG"
2013,12.7,11.3,7.4,44,"ARG"
2014,12.1,10.8,6.9,42,"ARG"
2015,11.5,10.2,6.5,41,"ARG"
2016,10.9,9.7,6.4,40,"ARG"
2017,10.3,9.2,6.3,39,"ARG"
2018,9.7,8.6,6,NA,"ARG"
2019,9.1,8.1,5.3,NA,"ARG"
2000,30.6,27,16.1,43,"ARM"
2001,29.1,25.7,15.3,42,"ARM"
2002,27.7,24.5,14.5,39,"ARM"
2003,26.3,23.3,13.8,38,"ARM"
2004,25,22.2,13.1,36,"ARM"
2005,23.7,21.1,12.5,35,"ARM"
2006,22.5,20,11.9,36,"ARM"
2007,21.4,19,11.3,32,"ARM"
2008,20.3,18.1,10.7,36,"ARM"
2009,19.2,17.2,10.1,32,"ARM"
2010,18.3,16.3,9.6,32,"ARM"
2011,17.3,15.5,9.1,30,"ARM"
2012,16.4,14.7,8.7,30,"ARM"
2013,15.6,14,8.2,26,"ARM"
2014,14.8,13.3,7.8,27,"ARM"
2015,14.1,12.6,7.4,28,"ARM"
2016,13.4,12,7,26,"ARM"
2017,12.7,11.3,6.7,26,"ARM"
2018,12.1,10.8,6.4,NA,"ARM"
2019,11.5,10.2,6,NA,"ARM"
2000,NA,NA,NA,NA,"ASM"
2001,NA,NA,NA,NA,"ASM"
2002,NA,NA,NA,NA,"ASM"
2003,NA,NA,NA,NA,"ASM"
2004,NA,NA,NA,NA,"ASM"
2005,NA,NA,NA,NA,"ASM"
2006,NA,NA,NA,NA,"ASM"
2007,NA,NA,NA,NA,"ASM"
2008,NA,NA,NA,NA,"ASM"
2009,NA,NA,NA,NA,"ASM"
2010,NA,NA,NA,NA,"ASM"
2011,NA,NA,NA,NA,"ASM"
2012,NA,NA,NA,NA,"ASM"
2013,NA,NA,NA,NA,"ASM"
2014,NA,NA,NA,NA,"ASM"
2015,NA,NA,NA,NA,"ASM"
2016,NA,NA,NA,NA,"ASM"
2017,NA,NA,NA,NA,"ASM"
2018,NA,NA,NA,NA,"ASM"
2019,NA,NA,NA,NA,"ASM"
2000,15.5,12.6,9.7,44,"ATG"
2001,15.1,12.3,9.5,44,"ATG"
2002,14.6,11.9,9.3,43,"ATG"
2003,14.1,11.5,8.9,44,"ATG"
2004,13.5,11,8.6,41,"ATG"
2005,12.9,10.6,8.2,40,"ATG"
2006,12.3,10.1,7.7,46,"ATG"
2007,11.7,9.6,7.3,48,"ATG"
2008,11.1,9.2,6.8,50,"ATG"
2009,10.6,8.7,6.3,45,"ATG"
2010,10,8.3,5.8,44,"ATG"
2011,9.5,7.9,5.4,43,"ATG"
2012,9,7.5,5.1,44,"ATG"
2013,8.5,7.1,4.7,43,"ATG"
2014,8.1,6.8,4.5,42,"ATG"
2015,7.8,6.5,4.2,43,"ATG"
2016,7.4,6.2,4.1,43,"ATG"
2017,7.1,6,3.9,42,"ATG"
2018,6.9,5.8,3.8,NA,"ATG"
2019,6.6,5.6,3.6,NA,"ATG"
2000,6.2,5.1,3.5,7,"AUS"
2001,6.1,5,3.5,6,"AUS"
2002,6,5,3.4,6,"AUS"
2003,5.9,4.9,3.4,6,"AUS"
2004,5.8,4.8,3.3,5,"AUS"
2005,5.7,4.8,3.2,5,"AUS"
2006,5.6,4.7,3.1,5,"AUS"
2007,5.4,4.5,3,5,"AUS"
2008,5.2,4.4,2.9,5,"AUS"
2009,5,4.2,2.8,5,"AUS"
2010,4.8,4,2.7,5,"AUS"
2011,4.5,3.8,2.6,6,"AUS"
2012,4.3,3.6,2.5,6,"AUS"
2013,4.1,3.5,2.4,6,"AUS"
2014,4,3.4,2.4,6,"AUS"
2015,3.9,3.3,2.3,6,"AUS"
2016,3.8,3.2,2.3,6,"AUS"
2017,3.8,3.2,2.3,6,"AUS"
